id_leitura,id_sensor,id_peca,sensor_tipo,leitura_data_hora,tempo_uso,ciclos,temperatura,vibracao,falha,risco_falha
22,1,1,temperatura,2025-08-19 04:55:33.578802,12.32,16,68.33,2.423,0,baixo
23,1,1,temperatura,2025-08-19 05:25:33.578802,12.76,17,70.13,2.476,0,baixo
24,1,1,temperatura,2025-08-19 05:55:33.578802,13.25,18,69.65,2.445,0,baixo
25,1,1,temperatura,2025-08-19 06:25:33.578802,13.82,19,69.94,2.263,0,baixo
26,1,1,temperatura,2025-08-19 06:55:33.578802,14.64,19,67.52,2.028,0,baixo
27,1,1,temperatura,2025-08-19 07:25:33.578802,15.0,20,67.51,1.698,0,baixo
28,1,1,temperatura,2025-08-19 07:55:33.578802,15.62,21,68.44,2.326,0,baixo
29,1,1,temperatura,2025-08-19 08:25:33.578802,16.29,22,66.04,2.57,0,baixo
30,1,1,temperatura,2025-08-19 08:55:33.578802,16.53,22,65.43,2.552,0,baixo
31,1,1,temperatura,2025-08-19 09:25:33.578802,17.21,23,66.15,2.52,0,baixo
32,1,1,temperatura,2025-08-19 09:55:33.578802,17.55,23,66.14,2.302,0,baixo
33,1,1,temperatura,2025-08-19 10:25:33.578802,17.8,25,63.5,2.601,0,baixo
34,1,1,temperatura,2025-08-19 10:55:33.578802,18.76,25,60.81,2.575,0,baixo
35,1,1,temperatura,2025-08-19 11:25:33.578802,19.73,28,60.6,2.26,0,baixo
36,1,1,temperatura,2025-08-19 11:55:33.578802,20.58,29,61.27,2.55,0,baixo
37,1,1,temperatura,2025-08-19 12:25:33.578802,21.02,32,60.23,2.261,0,baixo
38,1,1,temperatura,2025-08-19 12:55:33.578802,21.3,34,59.31,2.54,0,baixo
39,1,1,temperatura,2025-08-19 13:25:33.578802,22.05,34,58.84,2.091,0,baixo
40,1,1,temperatura,2025-08-19 13:55:33.578802,22.6,37,56.99,2.126,0,baixo
41,1,1,temperatura,2025-08-19 14:25:33.578802,22.9,38,56.59,2.703,0,baixo
42,1,1,temperatura,2025-08-19 14:55:33.578802,23.49,38,55.24,2.682,0,baixo
43,1,1,temperatura,2025-08-19 15:25:33.578802,23.72,38,56.69,2.609,0,baixo
44,1,1,temperatura,2025-08-19 15:55:33.578802,24.65,40,56.64,2.492,0,baixo
45,1,1,temperatura,2025-08-19 16:25:33.578802,25.06,42,51.46,1.883,0,baixo
46,1,1,temperatura,2025-08-19 16:55:33.578802,25.79,44,52.81,2.478,0,baixo
47,1,1,temperatura,2025-08-19 17:25:33.578802,26.24,45,53.12,2.62,0,baixo
48,1,1,temperatura,2025-08-19 17:55:33.578802,26.85,47,52.52,2.387,0,baixo
49,1,1,temperatura,2025-08-19 18:25:33.578802,27.49,49,56.3,2.357,0,baixo
50,1,1,temperatura,2025-08-19 18:55:33.578802,27.84,51,53.67,2.906,0,baixo
51,1,1,temperatura,2025-08-19 19:25:33.578802,28.81,53,52.17,2.55,0,baixo
52,1,1,temperatura,2025-08-19 19:55:33.578802,29.63,53,55.16,2.691,0,baixo
53,1,1,temperatura,2025-08-19 20:25:33.578802,30.58,55,55.17,2.79,0,baixo
54,1,1,temperatura,2025-08-19 20:55:33.578802,31.5,57,55.94,2.365,0,baixo
55,1,1,temperatura,2025-08-19 21:25:33.578802,32.18,58,59.44,2.676,0,baixo
56,1,1,temperatura,2025-08-19 21:55:33.578802,33.12,59,57.71,2.974,0,baixo
57,1,1,temperatura,2025-08-19 22:25:33.578802,33.39,62,57.48,3.111,0,baixo
58,1,1,temperatura,2025-08-19 22:55:33.578802,33.74,63,55.51,2.674,0,baixo
59,1,1,temperatura,2025-08-19 23:25:33.578802,33.98,64,59.76,2.61,0,baixo
60,1,1,temperatura,2025-08-19 23:55:33.578802,34.44,66,63.47,2.749,0,baixo
61,1,1,temperatura,2025-08-20 00:25:33.578802,34.95,66,62.02,2.75,0,baixo
62,1,1,temperatura,2025-08-20 00:55:33.578802,35.37,69,59.21,3.05,0,baixo
63,1,1,temperatura,2025-08-20 01:25:33.578802,36.23,70,63.37,2.469,0,baixo
64,1,1,temperatura,2025-08-20 01:55:33.578802,36.72,71,67.02,2.658,0,baixo
65,1,1,temperatura,2025-08-20 02:25:33.578802,37.14,73,67.12,2.46,0,baixo
66,1,1,temperatura,2025-08-20 02:55:33.578802,37.78,75,65.45,2.501,0,baixo
67,1,1,temperatura,2025-08-20 03:25:33.578802,38.09,76,66.67,2.855,0,baixo
68,1,1,temperatura,2025-08-20 03:55:33.578802,38.93,77,67.58,2.979,0,baixo
69,1,1,temperatura,2025-08-20 04:25:33.578802,39.19,81,67.63,2.628,0,baixo
70,1,1,temperatura,2025-08-20 04:55:33.578802,40.18,82,65.56,3.001,0,baixo
71,1,1,temperatura,2025-08-20 05:25:33.578802,41.0,84,70.85,3.103,0,baixo
72,1,1,temperatura,2025-08-20 05:55:33.578802,41.36,87,71.85,3.322,0,baixo
73,1,1,temperatura,2025-08-20 06:25:33.578802,41.56,87,66.81,2.858,0,baixo
74,1,1,temperatura,2025-08-20 06:55:33.578802,42.41,89,71.64,2.699,0,baixo
75,1,1,temperatura,2025-08-20 07:25:33.578802,43.18,92,68.93,2.627,0,baixo
76,1,1,temperatura,2025-08-20 07:55:33.578802,43.96,93,70.91,2.616,0,baixo
77,1,1,temperatura,2025-08-20 08:25:33.578802,44.78,94,68.24,3.219,0,baixo
78,1,1,temperatura,2025-08-20 08:55:33.578802,45.04,94,67.75,2.532,0,baixo
79,1,1,temperatura,2025-08-20 09:25:33.578802,45.52,95,67.42,3.225,0,baixo
80,1,1,temperatura,2025-08-20 09:55:33.578802,45.82,97,64.49,2.713,0,baixo
81,1,1,temperatura,2025-08-20 10:25:33.578802,46.71,98,67.17,2.774,0,baixo
82,1,1,temperatura,2025-08-20 10:55:33.578802,47.41,99,62.04,2.921,0,baixo
83,1,1,temperatura,2025-08-20 11:25:33.578802,47.87,100,62.33,2.792,0,baixo
84,1,1,temperatura,2025-08-20 11:55:33.578802,48.12,100,62.96,3.205,0,baixo
85,1,1,temperatura,2025-08-20 12:25:33.578802,48.57,101,60.07,3.434,0,baixo
86,1,1,temperatura,2025-08-20 12:55:33.578802,49.03,103,61.38,2.829,0,baixo
87,1,1,temperatura,2025-08-20 13:25:33.578802,49.81,104,61.49,2.899,0,baixo
88,1,1,temperatura,2025-08-20 13:55:33.578802,50.52,105,59.91,2.98,0,baixo
89,1,1,temperatura,2025-08-20 14:25:33.578802,51.43,106,53.75,3.172,0,baixo
90,1,1,temperatura,2025-08-20 14:55:33.578802,52.01,107,56.68,3.009,0,baixo
91,1,1,temperatura,2025-08-20 15:25:33.578802,52.31,109,57.62,3.404,0,baixo
92,1,1,temperatura,2025-08-20 15:55:33.578802,53.08,109,52.82,3.355,0,baixo
93,1,1,temperatura,2025-08-20 16:25:33.578802,53.89,110,56.04,2.787,0,baixo
94,1,1,temperatura,2025-08-20 16:55:33.578802,54.54,111,55.6,3.226,0,baixo
95,1,1,temperatura,2025-08-20 17:25:33.578802,55.35,111,52.02,3.488,0,baixo
96,1,1,temperatura,2025-08-20 17:55:33.578802,55.95,111,55.63,2.993,0,baixo
97,1,1,temperatura,2025-08-20 18:25:33.578802,56.57,112,54.68,3.055,0,baixo
98,1,1,temperatura,2025-08-20 18:55:33.578802,57.11,112,55.56,3.005,0,baixo
99,1,1,temperatura,2025-08-20 19:25:33.578802,57.33,114,52.98,3.018,0,baixo
100,1,1,temperatura,2025-08-20 19:55:33.578802,57.61,115,55.44,2.735,0,baixo
101,1,1,temperatura,2025-08-20 20:25:33.578802,57.84,116,52.68,2.826,0,baixo
102,1,1,temperatura,2025-08-20 20:55:33.578802,58.55,116,52.34,3.188,0,baixo
103,1,1,temperatura,2025-08-20 21:25:33.578802,59.0,119,57.49,3.561,0,baixo
104,1,1,temperatura,2025-08-20 21:55:33.578802,59.61,120,60.1,3.041,0,baixo
105,1,1,temperatura,2025-08-20 22:25:33.578802,60.53,120,59.53,3.047,0,baixo
106,1,1,temperatura,2025-08-20 22:55:33.578802,60.93,120,59.96,3.639,0,baixo
107,1,1,temperatura,2025-08-20 23:25:33.578802,61.46,122,60.78,2.95,0,baixo
108,1,1,temperatura,2025-08-20 23:55:33.578802,62.27,122,60.48,2.824,0,baixo
109,1,1,temperatura,2025-08-21 00:25:33.578802,62.65,122,62.84,3.038,0,baixo
110,1,1,temperatura,2025-08-21 00:55:33.578802,62.91,123,65.04,3.085,0,baixo
111,1,1,temperatura,2025-08-21 01:25:33.578802,63.34,123,64.51,2.821,0,baixo
112,1,1,temperatura,2025-08-21 01:55:33.578802,63.67,124,67.61,3.233,0,baixo
113,1,1,temperatura,2025-08-21 02:25:33.578802,64.61,125,67.52,3.519,0,medio
114,1,1,temperatura,2025-08-21 02:55:33.578802,65.46,125,68.57,2.973,0,baixo
115,1,1,temperatura,2025-08-21 03:25:33.578802,66.17,125,70.32,3.327,0,medio
116,1,1,temperatura,2025-08-21 03:55:33.578802,67.06,128,68.42,3.425,0,medio
117,1,1,temperatura,2025-08-21 04:25:33.578802,67.91,129,71.06,3.32,0,medio
118,1,1,temperatura,2025-08-21 04:55:33.578802,68.26,129,69.55,3.393,0,medio
119,1,1,temperatura,2025-08-21 05:25:33.578802,69.17,130,71.11,3.412,0,medio
120,1,1,temperatura,2025-08-21 05:55:33.578802,69.8,130,69.45,3.169,0,medio
121,1,1,temperatura,2025-08-21 06:25:33.578802,70.65,130,68.95,3.759,0,medio
122,1,1,temperatura,2025-08-21 06:55:33.578802,71.57,130,70.6,3.71,0,medio
123,1,1,temperatura,2025-08-21 07:25:33.578802,72.02,130,66.74,3.703,0,medio
124,1,1,temperatura,2025-08-21 07:55:33.578802,72.31,131,69.17,3.666,0,medio
125,1,1,temperatura,2025-08-21 08:25:33.578802,72.69,133,66.27,3.029,0,medio
126,1,1,temperatura,2025-08-21 08:55:33.578802,73.23,133,69.91,3.662,0,medio
127,1,1,temperatura,2025-08-21 09:25:33.578802,74.09,134,69.66,3.61,0,medio
128,1,1,temperatura,2025-08-21 09:55:33.578802,74.97,134,65.38,3.075,0,medio
129,1,1,temperatura,2025-08-21 10:25:33.578802,75.18,135,66.79,3.411,0,medio
130,1,1,temperatura,2025-08-21 10:55:33.578802,75.79,136,66.67,3.546,0,medio
131,1,1,temperatura,2025-08-21 11:25:33.578802,76.32,136,65.68,3.901,0,medio
132,1,1,temperatura,2025-08-21 11:55:33.578802,76.7,138,63.41,3.677,0,medio
133,1,1,temperatura,2025-08-21 12:25:33.578802,77.0,142,63.33,3.294,0,medio
134,1,1,temperatura,2025-08-21 12:55:33.578802,77.47,142,59.82,3.941,0,medio
135,1,1,temperatura,2025-08-21 13:25:33.578802,78.42,142,60.17,3.542,0,medio
136,1,1,temperatura,2025-08-21 13:55:33.578802,78.88,144,58.25,3.479,0,medio
137,1,1,temperatura,2025-08-21 14:25:33.578802,79.49,144,56.91,3.471,0,baixo
138,1,1,temperatura,2025-08-21 14:55:33.578802,80.26,147,57.53,3.165,0,baixo
139,1,1,temperatura,2025-08-21 15:25:33.578802,80.75,147,57.4,3.551,0,medio
140,1,1,temperatura,2025-08-21 15:55:33.578802,81.73,147,58.29,3.718,0,medio
141,1,1,temperatura,2025-08-21 16:25:33.578802,82.7,148,56.23,3.514,0,medio
142,1,1,temperatura,2025-08-21 16:55:33.578802,83.1,149,56.56,3.724,0,medio
143,1,1,temperatura,2025-08-21 17:25:33.578802,83.69,151,56.38,3.417,0,medio
144,1,1,temperatura,2025-08-21 17:55:33.578802,84.14,151,59.97,3.604,0,medio
145,1,1,temperatura,2025-08-21 18:25:33.578802,84.56,151,51.93,3.725,0,baixo
146,1,1,temperatura,2025-08-21 18:55:33.578802,84.79,151,54.14,3.697,0,medio
147,1,1,temperatura,2025-08-21 19:25:33.578802,85.48,154,58.38,3.266,0,medio
148,1,1,temperatura,2025-08-21 19:55:33.578802,86.08,155,55.56,3.569,0,medio
149,1,1,temperatura,2025-08-21 20:25:33.578802,86.32,157,58.36,4.107,0,medio
150,1,1,temperatura,2025-08-21 20:55:33.578802,86.75,158,57.87,3.573,0,medio
151,1,1,temperatura,2025-08-21 21:25:33.578802,87.67,158,62.04,3.714,0,medio
152,1,1,temperatura,2025-08-21 21:55:33.578802,88.06,159,57.12,3.697,0,medio
153,1,1,temperatura,2025-08-21 22:25:33.578802,88.38,160,62.27,4.118,0,medio
154,1,1,temperatura,2025-08-21 22:55:33.578802,88.97,161,64.22,4.06,0,medio
155,1,1,temperatura,2025-08-21 23:25:33.578802,89.96,162,60.3,3.956,0,medio
156,1,1,temperatura,2025-08-21 23:55:33.578802,90.35,162,64.59,3.517,0,medio
157,1,1,temperatura,2025-08-22 00:25:33.578802,91.09,163,62.52,3.864,0,medio
158,1,1,temperatura,2025-08-22 00:55:33.578802,91.9,166,65.38,3.936,0,medio
159,1,1,temperatura,2025-08-22 01:25:33.578802,92.29,166,65.87,3.625,0,medio
160,1,1,temperatura,2025-08-22 01:55:33.578802,93.07,166,62.98,3.593,0,medio
161,1,1,temperatura,2025-08-22 02:25:33.578802,93.57,167,68.97,4.247,0,medio
162,1,1,temperatura,2025-08-22 02:55:33.578802,94.27,168,69.29,3.759,0,medio
163,1,1,temperatura,2025-08-22 03:25:33.578802,94.98,169,72.43,4.251,0,medio
164,1,1,temperatura,2025-08-22 03:55:33.578802,95.61,169,71.48,4.106,0,medio
165,1,1,temperatura,2025-08-22 04:25:33.578802,95.88,169,75.0,3.963,0,medio
166,1,1,temperatura,2025-08-22 04:55:33.578802,96.75,171,71.46,3.992,0,medio
167,1,1,temperatura,2025-08-22 05:25:33.578802,97.21,172,71.32,3.538,0,medio
168,1,1,temperatura,2025-08-22 05:55:33.578802,97.56,175,71.29,3.953,0,medio
169,1,1,temperatura,2025-08-22 06:25:33.578802,97.79,176,70.8,4.261,0,medio
170,1,1,temperatura,2025-08-22 06:55:33.578802,98.46,176,67.45,4.087,0,medio
171,1,1,temperatura,2025-08-22 07:25:33.578802,99.2,177,70.74,3.969,0,medio
172,1,1,temperatura,2025-08-22 07:55:33.578802,99.42,179,66.99,4.367,0,medio
173,1,1,temperatura,2025-08-22 08:25:33.578802,100.03,182,70.99,3.909,0,medio
174,1,1,temperatura,2025-08-22 08:55:33.578802,100.41,185,67.3,3.814,0,medio
175,1,1,temperatura,2025-08-22 09:25:33.578802,101.12,186,67.18,4.02,0,medio
176,1,1,temperatura,2025-08-22 09:55:33.578802,101.46,188,66.74,4.184,0,medio
177,1,1,temperatura,2025-08-22 10:25:33.578802,102.22,190,66.68,3.579,0,medio
178,1,1,temperatura,2025-08-22 10:55:33.578802,102.73,192,66.1,4.092,0,medio
179,1,1,temperatura,2025-08-22 11:25:33.578802,103.67,193,67.05,4.24,0,medio
180,1,1,temperatura,2025-08-22 11:55:33.578802,103.98,198,63.05,3.987,1,medio
181,1,1,temperatura,2025-08-22 12:25:33.578802,104.46,199,63.92,4.341,0,medio
182,1,1,temperatura,2025-08-22 12:55:33.578802,104.75,199,66.95,4.229,1,medio
183,1,1,temperatura,2025-08-22 13:25:33.578802,105.69,200,61.75,4.621,0,medio
184,1,1,temperatura,2025-08-22 13:55:33.578802,106.59,200,59.82,3.911,0,medio
185,1,1,temperatura,2025-08-22 14:25:33.578802,107.0,200,57.88,4.313,0,medio
186,1,1,temperatura,2025-08-22 14:55:33.578802,107.72,201,58.15,3.864,0,medio
187,1,1,temperatura,2025-08-22 15:25:33.578802,108.58,202,56.23,3.73,0,medio
188,1,1,temperatura,2025-08-22 15:55:33.578802,109.22,203,57.73,3.637,0,medio
189,1,1,temperatura,2025-08-22 16:25:33.578802,109.85,204,56.98,4.292,0,medio
190,1,1,temperatura,2025-08-22 16:55:33.578802,110.24,207,52.56,4.217,0,medio
191,1,1,temperatura,2025-08-22 17:25:33.578802,110.51,207,56.2,4.055,0,medio
192,1,1,temperatura,2025-08-22 17:55:33.578802,111.43,208,58.11,3.748,0,medio
193,1,1,temperatura,2025-08-22 18:25:33.578802,112.35,213,55.55,4.045,0,medio
194,1,1,temperatura,2025-08-22 18:55:33.578802,113.06,215,55.31,4.234,0,medio
195,1,1,temperatura,2025-08-22 19:25:33.578802,113.53,219,54.35,4.449,1,medio
196,1,1,temperatura,2025-08-22 19:55:33.578802,114.01,221,53.95,4.259,0,medio
197,1,1,temperatura,2025-08-22 20:25:33.578802,114.79,221,59.37,4.337,0,medio
198,1,1,temperatura,2025-08-22 20:55:33.578802,115.71,222,58.25,4.197,0,medio
199,1,1,temperatura,2025-08-22 21:25:33.578802,116.62,222,60.77,4.742,0,alto
200,1,1,temperatura,2025-08-22 21:55:33.578802,117.44,222,63.02,4.062,0,alto
201,1,1,temperatura,2025-08-22 22:25:33.578802,118.15,222,62.87,4.153,0,alto
202,1,1,temperatura,2025-08-22 22:55:33.578802,118.42,222,61.23,4.208,0,alto
203,1,1,temperatura,2025-08-22 23:25:33.578802,118.75,224,63.5,4.477,0,alto
204,1,1,temperatura,2025-08-22 23:55:33.578802,119.67,225,63.21,4.098,0,alto
205,1,1,temperatura,2025-08-23 00:25:33.578802,120.36,227,64.11,4.407,0,alto
206,1,1,temperatura,2025-08-23 00:55:33.578802,120.56,230,67.06,4.425,0,alto
207,1,1,temperatura,2025-08-23 01:25:33.578802,120.84,231,65.95,4.217,0,alto
208,1,1,temperatura,2025-08-23 01:55:33.578802,121.57,232,64.45,4.486,0,alto
209,1,1,temperatura,2025-08-23 02:25:33.578802,121.78,235,67.73,4.162,0,alto
210,1,1,temperatura,2025-08-23 02:55:33.578802,122.11,235,69.58,4.14,0,alto
211,1,1,temperatura,2025-08-23 03:25:33.578802,122.75,235,73.6,4.454,0,alto
212,1,1,temperatura,2025-08-23 03:55:33.578802,123.5,235,70.6,4.025,1,alto
213,1,1,temperatura,2025-08-23 04:25:33.578802,124.22,235,72.91,3.915,0,alto
214,1,1,temperatura,2025-08-23 04:55:33.578802,124.6,236,72.06,4.592,0,alto
215,1,1,temperatura,2025-08-23 05:25:33.578802,125.37,236,74.82,4.733,1,alto
216,1,1,temperatura,2025-08-23 05:55:33.578802,125.76,240,74.81,4.37,0,alto
217,1,1,temperatura,2025-08-23 06:25:33.578802,126.22,241,74.82,4.329,0,alto
218,1,1,temperatura,2025-08-23 06:55:33.578802,127.02,242,69.43,4.762,0,alto
219,1,1,temperatura,2025-08-23 07:25:33.578802,127.74,243,72.63,4.237,0,alto
220,1,1,temperatura,2025-08-23 07:55:33.578802,128.62,243,73.21,4.196,1,alto
221,1,1,temperatura,2025-08-23 08:25:33.578802,129.34,245,72.0,4.73,0,alto
222,1,1,temperatura,2025-08-23 08:55:33.578802,130.0,245,71.8,4.565,0,alto
223,1,1,temperatura,2025-08-23 09:25:33.578802,130.27,246,70.0,4.835,0,alto
224,1,1,temperatura,2025-08-23 09:55:33.578802,130.77,246,67.72,4.041,0,alto
225,1,1,temperatura,2025-08-23 10:25:33.578802,131.18,251,65.11,4.245,0,alto
226,1,1,temperatura,2025-08-23 10:55:33.578802,131.57,251,66.03,4.605,0,alto
227,1,1,temperatura,2025-08-23 11:25:33.578802,132.55,252,71.02,4.723,0,alto
228,1,1,temperatura,2025-08-23 11:55:33.578802,133.07,252,64.3,4.838,1,alto
229,1,1,temperatura,2025-08-23 12:25:33.578802,133.98,254,60.64,4.688,1,alto
230,1,1,temperatura,2025-08-23 12:55:33.578802,134.69,254,64.47,4.696,0,alto
231,1,1,temperatura,2025-08-23 13:25:33.578802,135.52,255,63.73,4.573,0,alto
232,1,1,temperatura,2025-08-23 13:55:33.578802,136.12,257,63.58,5.082,1,alto
233,1,1,temperatura,2025-08-23 14:25:33.578802,136.79,259,61.26,4.424,0,alto
234,1,1,temperatura,2025-08-23 14:55:33.578802,137.38,261,61.16,4.803,1,alto
235,1,1,temperatura,2025-08-23 15:25:33.578802,137.74,266,62.27,4.484,0,alto
236,1,1,temperatura,2025-08-23 15:55:33.578802,138.51,269,57.05,4.884,0,alto
237,1,1,temperatura,2025-08-23 16:25:33.578802,138.94,270,56.23,4.5,1,alto
238,1,1,temperatura,2025-08-23 16:55:33.578802,139.16,272,55.61,4.953,0,alto
239,1,1,temperatura,2025-08-23 17:25:33.578802,139.87,273,56.9,4.809,0,alto
240,1,1,temperatura,2025-08-23 17:55:33.578802,140.22,274,59.88,5.224,0,alto
241,1,1,temperatura,2025-08-23 18:25:33.578802,141.17,274,58.33,4.732,0,alto
242,1,1,temperatura,2025-08-23 18:55:33.578802,142.13,277,58.48,4.931,0,alto
243,1,1,temperatura,2025-08-23 19:25:33.578802,143.06,277,54.67,4.644,0,alto
244,1,1,temperatura,2025-08-23 19:55:33.578802,143.56,280,57.17,4.781,0,alto
245,1,1,temperatura,2025-08-23 20:25:33.578802,143.77,282,55.69,4.888,0,alto
246,1,1,temperatura,2025-08-23 20:55:33.578802,144.71,282,61.8,4.494,0,alto
247,1,1,temperatura,2025-08-23 21:25:33.578802,145.26,285,63.34,4.537,0,alto
248,1,1,temperatura,2025-08-23 21:55:33.578802,146.23,287,62.79,5.061,1,alto
249,1,1,temperatura,2025-08-23 22:25:33.578802,147.2,289,60.57,4.894,0,alto
250,1,1,temperatura,2025-08-23 22:55:33.578802,148.08,289,66.03,4.796,0,alto
251,1,1,temperatura,2025-08-23 23:25:33.578802,148.52,290,63.94,4.769,0,alto
252,1,1,temperatura,2025-08-23 23:55:33.578802,149.03,291,63.27,4.788,0,alto
253,1,1,temperatura,2025-08-24 00:25:33.578802,149.91,292,64.8,5.007,0,alto
254,1,1,temperatura,2025-08-24 00:55:33.578802,150.36,296,66.82,5.107,0,alto
255,1,1,temperatura,2025-08-24 01:25:33.578802,150.7,297,68.7,4.48,0,alto
256,1,1,temperatura,2025-08-24 01:55:33.578802,151.34,297,69.29,5.366,1,alto
257,1,1,temperatura,2025-08-24 02:25:33.578802,152.29,298,67.95,5.365,0,alto
258,1,1,temperatura,2025-08-24 02:55:33.578802,153.05,300,73.51,4.463,0,alto
259,1,1,temperatura,2025-08-24 03:25:33.578802,153.7,300,71.78,5.327,0,alto
260,1,1,temperatura,2025-08-24 03:55:33.578802,153.98,302,71.38,5.329,1,alto
261,1,1,temperatura,2025-08-24 04:25:33.578802,154.67,302,75.17,5.075,0,alto
262,1,1,temperatura,2025-08-24 04:55:33.578802,155.67,304,71.44,4.771,0,alto
263,1,1,temperatura,2025-08-24 05:25:33.578802,155.98,304,70.87,5.353,1,alto
264,1,1,temperatura,2025-08-24 05:55:33.578802,156.59,306,76.21,5.054,0,alto
265,1,1,temperatura,2025-08-24 06:25:33.578802,157.49,307,77.31,5.267,0,alto
266,1,1,temperatura,2025-08-24 06:55:33.578802,158.29,309,72.92,5.702,0,alto
267,1,1,temperatura,2025-08-24 07:25:33.578802,159.04,310,73.38,5.224,0,alto
268,1,1,temperatura,2025-08-24 07:55:33.578802,159.81,310,70.98,4.943,0,alto
269,1,1,temperatura,2025-08-24 08:25:33.578802,160.29,313,72.52,5.103,0,alto
270,1,1,temperatura,2025-08-24 08:55:33.578802,160.73,313,71.0,4.996,0,alto
271,1,1,temperatura,2025-08-24 09:25:33.578802,161.58,313,70.92,5.315,0,alto
272,1,1,temperatura,2025-08-24 09:55:33.578802,162.42,314,71.02,5.02,0,alto
273,1,1,temperatura,2025-08-24 10:25:33.578802,163.32,317,67.41,5.124,0,alto
274,1,1,temperatura,2025-08-24 10:55:33.578802,164.25,322,67.8,4.948,0,alto
275,1,1,temperatura,2025-08-24 11:25:33.578802,164.86,322,64.2,5.245,0,alto
276,1,1,temperatura,2025-08-24 11:55:33.578802,165.46,322,65.79,5.331,0,alto
277,1,1,temperatura,2025-08-24 12:25:33.578802,166.3,325,65.25,4.636,0,alto
278,1,1,temperatura,2025-08-24 12:55:33.578802,167.02,325,64.82,5.383,0,alto
279,1,1,temperatura,2025-08-24 13:25:33.578802,167.78,325,63.87,5.318,1,alto
280,1,1,temperatura,2025-08-24 13:55:33.578802,168.62,326,64.14,5.153,1,alto
281,1,1,temperatura,2025-08-24 14:25:33.578802,169.53,326,58.89,5.865,0,alto
282,1,1,temperatura,2025-08-24 14:55:33.578802,170.0,327,58.2,5.607,0,alto
283,1,1,temperatura,2025-08-24 15:25:33.578802,170.5,328,61.14,5.103,0,alto
284,1,1,temperatura,2025-08-24 15:55:33.578802,170.77,329,55.93,5.594,0,alto
285,1,1,temperatura,2025-08-24 16:25:33.578802,171.44,330,59.47,5.708,0,alto
286,1,1,temperatura,2025-08-24 16:55:33.578802,171.67,330,56.67,5.433,0,alto
287,1,1,temperatura,2025-08-24 17:25:33.578802,172.24,331,61.42,5.501,0,alto
288,1,1,temperatura,2025-08-24 17:55:33.578802,172.87,332,58.97,5.508,0,alto
289,1,1,temperatura,2025-08-24 18:25:33.578802,173.3,335,58.19,4.916,0,alto
290,1,1,temperatura,2025-08-24 18:55:33.578802,173.97,336,61.0,5.403,0,alto
291,1,1,temperatura,2025-08-24 19:25:33.578802,174.2,336,57.2,5.393,0,alto
292,1,1,temperatura,2025-08-24 19:55:33.578802,174.43,337,57.99,5.816,0,alto
293,1,1,temperatura,2025-08-24 20:25:33.578802,175.29,339,57.89,5.56,0,alto
294,1,1,temperatura,2025-08-24 20:55:33.578802,175.77,340,59.3,5.412,0,alto
295,1,1,temperatura,2025-08-24 21:25:33.578802,176.08,341,61.75,5.471,0,alto
296,1,1,temperatura,2025-08-24 21:55:33.578802,176.69,341,63.4,5.759,0,alto
297,1,1,temperatura,2025-08-24 22:25:33.578802,177.51,342,65.2,5.472,0,alto
298,1,1,temperatura,2025-08-24 22:55:33.578802,177.88,342,61.18,5.349,0,alto
299,1,1,temperatura,2025-08-24 23:25:33.578802,178.58,343,65.2,5.467,0,alto
